date,cyprus,czech,denmark,djibouti,dominica,east timor,ecuador,egypt,el salvador,emirate,england,eritrea,estonia,ethiopia,fiji,finland,france,gabon,gambia,georgia,germany,ghana,great britain,greece,grenada,grenadines,guatemala,guinea,guyana,haiti,herzegovina,honduras,hungary,iceland,in usa,india,indonesia,iran,iraq,ireland,israel,italy,ivory coast,jamaica,japan,jordan,kazakhstan,kenya,kiribati,korea,kosovo,kuwait,kyrgyzstan,laos,latvia,lebanon,lesotho,liberia,libya,liechtenstein,lithuania,luxembourg,macedonia,madagascar,malawi,malaysia,maldives,mali,malta,marshall,mauritania,mauritius,mexico,micronesia,moldova,monaco,mongolia,montenegro,morocco,mozambique
2018-11-01,35,67,30,59,23,8,48,28,64,48,32,57,44,73,60,37,28,40,19,68,30,25,21,29,17,36,45,78,63,2,5,27,34,30,53,65,82,9,3,52,27,18,6,50,21,58,46,73,29,39,13,99,16,66,36,31,74,38,3,42,36,78,46,19,64,36,56,27,71,53,20,72,56,13,52,30,56,31,30,33
2018-12-01,32,66,27,65,21,6,36,28,57,44,23,52,39,74,52,35,29,29,19,48,29,23,21,26,16,34,40,75,54,2,4,19,33,31,48,72,76,8,3,42,24,17,5,50,20,61,41,67,45,39,13,88,19,56,30,32,62,36,3,36,33,74,40,17,61,40,55,27,62,73,19,77,48,23,50,26,57,30,40,30
2019-01-01,39,65,29,59,25,6,47,29,63,52,29,52,42,74,70,37,29,57,21,45,26,25,22,33,20,41,48,74,60,2,4,21,35,28,52,75,73,11,4,48,26,20,5,57,20,55,40,78,33,39,10,88,28,63,32,34,76,40,3,44,35,79,61,18,61,35,76,27,76,48,19,87,53,14,53,34,57,33,32,34
2019-02-01,37,64,28,64,29,7,44,28,77,52,33,49,41,70,58,34,28,29,20,43,27,26,22,32,21,44,50,77,59,3,4,23,35,26,50,74,78,8,3,53,28,21,5,56,20,62,47,72,32,38,10,89,17,58,33,32,69,41,3,41,37,78,52,18,66,33,61,27,73,48,18,77,52,14,58,27,56,34,32,36
2019-03-01,39,74,29,66,24,8,44,28,75,47,31,54,45,100,59,37,29,32,19,45,28,26,23,34,19,36,53,80,61,2,5,24,38,26,49,71,75,8,3,53,29,21,7,56,21,63,61,74,35,39,15,88,17,58,36,32,75,46,4,100,38,81,59,19,90,34,68,30,79,47,22,75,53,14,78,27,61,54,33,100
2019-04-01,40,65,29,59,22,9,45,28,64,45,23,66,45,73,59,34,29,30,17,43,27,24,21,34,17,34,46,86,58,2,4,22,35,23,48,61,70,8,3,46,32,21,5,52,21,53,43,69,32,38,10,88,17,52,34,31,73,38,6,39,36,82,51,17,69,35,69,26,78,47,23,75,46,15,52,28,95,37,32,57
2019-05-01,43,69,32,61,22,7,47,26,69,43,30,51,51,69,56,38,29,29,15,43,29,24,21,40,17,30,47,85,62,2,5,23,38,24,50,73,67,14,3,48,32,23,5,52,21,54,43,69,34,36,11,85,19,52,39,32,66,36,4,40,43,81,94,17,86,32,64,26,81,44,19,71,50,16,53,44,64,44,31,34
2019-06-01,45,68,31,67,23,8,71,33,85,43,53,47,56,66,64,34,38,28,18,43,29,28,17,41,18,34,52,93,81,3,6,33,37,26,50,88,61,19,3,48,26,24,13,67,22,53,54,75,30,39,14,96,28,51,48,33,69,38,4,45,44,82,100,21,74,33,69,38,86,44,34,74,58,15,65,26,60,49,34,31
2019-07-01,46,65,30,59,23,6,42,30,65,45,46,74,51,76,60,34,47,27,19,44,27,29,17,43,18,34,48,88,60,4,5,22,34,26,51,78,73,16,2,50,24,22,14,64,21,51,42,78,27,38,11,88,21,58,38,33,69,36,4,39,39,79,52,25,69,35,68,30,83,43,26,75,55,15,55,29,57,49,34,31
2019-08-01,44,66,34,57,24,9,43,26,64,45,32,50,46,77,58,34,29,28,17,47,26,25,16,39,20,35,51,83,67,2,5,26,38,25,51,75,80,10,2,50,25,21,6,54,20,52,41,68,32,35,10,89,22,68,36,34,70,36,3,43,40,79,51,17,65,37,62,25,82,46,17,76,48,14,50,33,63,49,30,32
2019-09-01,43,66,31,62,25,9,47,30,70,45,37,51,62,71,67,34,30,28,19,52,31,24,21,40,18,36,54,85,62,2,6,26,35,24,55,71,87,13,3,52,31,22,7,51,22,51,50,68,41,37,23,90,20,55,36,32,76,38,3,47,54,84,54,17,65,39,62,26,82,47,20,76,57,16,75,30,63,47,30,36
2019-10-01,42,69,37,66,26,7,64,30,69,43,37,59,56,74,63,37,31,34,19,49,31,25,22,33,21,37,48,92,60,2,6,25,38,25,48,83,79,10,3,52,28,20,6,49,26,53,57,69,38,36,14,86,21,54,35,40,70,38,3,79,40,91,91,16,63,36,56,26,80,45,24,73,53,20,56,25,62,43,30,36
2019-11-01,37,62,31,68,28,7,48,31,67,44,42,48,47,74,54,38,28,35,23,50,31,25,22,30,17,36,46,84,61,2,7,23,39,25,50,86,79,10,3,48,29,18,8,49,21,58,50,69,33,36,23,92,20,59,34,35,93,40,3,60,50,89,55,16,63,37,61,33,84,48,20,78,54,15,65,24,59,48,30,34
2019-12-01,33,61,26,65,27,8,37,28,58,44,31,53,38,77,54,44,28,30,23,45,25,23,19,27,17,35,42,79,52,2,4,19,31,28,49,86,74,8,3,40,25,17,5,50,21,64,48,65,50,41,9,88,18,87,30,33,66,36,6,37,34,75,42,16,57,33,67,27,73,47,19,83,44,14,52,28,55,31,29,30
2020-01-01,40,59,28,62,26,6,44,29,68,50,35,50,41,73,58,42,29,31,25,44,27,25,21,34,21,43,50,82,62,2,4,21,38,27,59,97,70,100,11,56,30,20,6,65,22,69,41,73,41,36,10,94,19,56,32,34,82,44,8,40,38,81,45,17,62,34,71,25,77,44,21,89,50,15,54,35,59,37,33,32
2020-02-01,37,59,29,60,25,6,40,29,67,48,37,49,42,72,54,36,31,28,21,43,30,25,23,34,21,61,52,82,64,2,4,24,41,24,59,100,72,13,3,53,26,29,5,55,22,73,43,72,34,42,10,97,20,55,33,32,93,41,4,39,40,82,45,16,65,35,72,25,76,46,20,78,55,17,53,25,61,36,32,32
2020-03-01,37,63,34,60,22,6,52,29,83,49,28,45,40,76,49,37,47,29,18,49,39,28,23,34,18,68,49,81,100,2,5,24,46,38,100,98,92,19,3,66,35,100,5,53,21,56,40,78,38,51,10,100,23,52,31,29,69,35,4,42,39,78,46,17,59,38,51,24,68,57,20,66,61,15,58,20,61,30,29,32
2020-04-01,31,56,28,66,18,16,61,26,69,26,22,50,35,68,44,35,34,34,13,53,32,27,24,30,14,41,46,96,59,2,5,20,37,41,94,86,89,10,3,53,28,38,5,44,19,75,38,75,41,58,9,83,20,47,29,27,85,34,4,41,34,57,42,21,61,32,43,23,50,45,22,45,50,16,52,17,65,26,23,29
2020-05-01,31,52,28,54,19,12,47,26,68,31,22,50,36,67,39,32,33,30,12,59,31,26,25,30,14,27,44,100,58,2,4,19,36,30,81,79,70,8,3,54,33,26,5,46,18,100,37,72,35,52,9,81,20,42,28,30,84,48,5,39,34,63,43,28,56,33,40,23,50,45,19,45,50,16,53,17,60,28,22,27
