date,alabama,alaska,arizona,arkansas,california,colorado,connecticut,delaware,district of columbia,florida,georgia,hawaii,idaho,illinois,indiana,iowa,kansas,kentucky,louisiana,maine,maryland,massachusetts,michigan,minnesota,mississippi,missouri,montana,nebraska,nevada,new hampshire,new jersey,new mexico,new york,north carolina,north dakota,ohio,oklahoma,oregon,pennsylvania,rhode island,south carolina,south dakota,tennessee,texas,utah,vermont,virginia,washington,west virginia,wisconsin,wyoming
2013-12-01,59,53,34,54,32,48,14,45,18,42,41,48,57,37,38,33,54,34,26,47,29,21,47,26,28,45,31,46,31,15,24,36,37,27,54,72,40,46,23,23,36,31,42,52,63,28,23,35,29,30,48
2014-01-01,62,59,35,60,36,53,14,50,18,51,45,56,59,39,42,35,51,36,29,50,33,23,48,27,30,43,31,54,33,16,26,40,38,29,56,73,45,44,24,25,39,35,44,53,67,28,26,36,43,33,52
2014-02-01,51,53,38,62,35,47,14,52,19,48,44,47,58,38,40,37,51,38,30,50,33,23,45,25,31,44,29,57,32,16,25,38,35,30,47,70,41,45,25,26,40,34,44,51,65,29,25,35,34,32,51
2014-03-01,50,54,39,61,38,50,15,52,18,50,45,48,59,39,41,38,54,47,30,51,33,23,49,26,31,45,29,59,31,16,25,44,37,31,59,69,42,47,24,27,41,35,48,54,66,26,26,39,32,36,50
2014-04-01,53,52,34,70,36,50,16,51,19,46,42,48,59,38,41,35,54,55,29,51,33,24,43,30,33,45,32,47,36,16,26,38,36,30,50,70,43,45,27,27,39,35,45,54,66,25,26,37,30,34,50
2014-05-01,48,54,32,61,37,48,14,51,15,41,42,46,61,36,42,33,51,69,27,52,32,22,43,29,30,42,30,44,29,17,25,36,35,28,49,70,45,47,24,29,37,36,43,51,64,26,25,36,30,29,51
2014-06-01,49,58,31,58,37,49,14,54,15,42,40,42,62,36,41,35,50,36,27,54,33,23,44,25,32,42,33,48,30,17,25,38,33,29,48,69,38,48,24,27,36,41,42,50,65,26,26,34,30,34,52
2014-07-01,48,55,31,58,38,50,15,56,19,43,43,44,67,37,42,36,51,34,27,63,33,23,46,26,30,44,35,44,31,21,28,38,35,32,49,75,39,49,25,30,38,42,46,53,67,29,26,37,33,35,57
2014-08-01,57,54,34,62,37,51,14,53,16,42,45,53,66,37,41,37,52,37,27,60,32,23,48,28,31,63,34,48,30,19,26,37,35,29,49,71,40,50,25,30,41,42,48,52,67,28,26,35,35,35,54
2014-09-01,62,52,36,67,34,47,14,50,15,42,46,41,58,35,37,36,55,35,27,52,32,24,50,29,33,45,30,57,30,18,24,37,35,28,51,70,45,50,26,28,45,35,51,52,66,27,26,37,36,31,54
2014-10-01,63,51,37,65,33,46,15,49,17,42,48,47,55,37,38,36,70,38,29,51,32,23,48,28,42,45,28,52,29,17,26,35,35,30,55,71,41,48,26,26,41,36,50,54,64,27,26,37,37,31,49
2014-11-01,73,56,38,64,32,46,14,44,17,44,45,44,55,37,37,36,51,39,27,48,31,23,47,28,40,65,31,54,29,16,23,35,36,28,52,69,38,51,25,24,40,35,51,49,64,26,25,34,38,34,48
2014-12-01,57,53,37,56,33,45,13,44,14,41,41,42,54,34,36,34,50,38,28,48,29,20,45,25,31,44,30,54,30,16,23,35,35,28,48,68,38,47,24,23,37,32,44,50,61,26,23,33,34,32,47
2015-01-01,63,58,37,58,36,49,15,48,16,49,43,46,58,36,38,36,48,40,28,49,31,23,46,25,33,43,32,45,33,16,25,37,37,31,50,85,40,66,26,25,39,36,47,51,64,26,25,35,33,32,51
2015-02-01,52,57,36,64,35,49,14,48,16,48,43,45,59,39,40,38,49,43,30,50,31,22,46,26,32,45,29,46,33,16,24,39,34,33,46,70,39,46,25,26,43,36,48,52,64,27,25,36,37,33,52
2015-03-01,53,52,40,66,36,47,14,49,15,48,46,45,58,38,43,39,52,66,30,50,33,22,46,27,34,46,27,45,31,16,24,38,34,36,48,70,49,46,26,27,43,37,48,51,69,24,27,35,43,40,53
2015-04-01,53,52,35,61,37,49,14,50,16,44,44,45,59,40,44,36,53,67,30,52,33,24,46,28,32,47,27,47,31,17,25,37,35,33,45,73,43,46,27,28,51,37,49,53,66,24,26,37,31,47,54
2015-05-01,52,52,33,63,37,49,14,50,15,42,43,47,62,37,41,36,54,70,29,53,32,23,46,27,33,47,29,48,30,17,26,36,34,32,47,72,44,46,26,29,42,41,48,60,65,24,26,37,30,32,53
2015-06-01,53,58,33,66,37,53,15,54,15,45,46,43,67,39,42,36,53,39,30,57,33,24,49,28,35,47,30,47,32,19,28,39,36,38,48,75,40,49,28,29,61,43,50,57,66,27,27,36,33,35,57
2015-07-01,55,57,33,63,38,55,15,57,15,46,45,44,72,39,45,37,55,40,32,63,33,24,49,29,34,48,31,46,33,22,29,40,34,36,47,78,41,55,27,34,50,46,56,55,68,28,27,37,35,38,62
2015-08-01,61,57,35,65,37,54,16,54,15,46,46,46,73,39,45,41,55,39,31,65,33,24,52,30,37,48,32,49,31,22,28,41,35,35,51,78,40,53,28,32,47,45,54,56,71,28,35,38,35,37,59
2015-09-01,76,56,38,74,36,52,15,53,16,45,53,46,64,39,42,42,60,44,30,61,33,24,58,32,40,49,28,62,31,20,26,40,36,35,48,82,45,54,28,30,50,42,67,59,74,27,29,37,38,37,58
2015-10-01,72,50,38,69,34,49,14,48,16,44,52,43,60,38,42,41,68,40,31,55,32,22,60,29,37,47,26,56,32,18,26,38,36,34,47,78,45,67,27,27,65,38,61,61,72,26,26,35,38,33,53
2015-11-01,74,50,36,67,32,49,14,45,14,41,45,41,57,35,39,44,56,42,29,51,29,21,55,31,37,54,26,59,29,16,23,37,35,32,42,78,45,45,25,25,45,35,57,52,62,24,24,33,33,31,52
2015-12-01,63,52,37,61,38,47,14,45,13,43,45,43,58,37,39,41,50,39,29,53,30,21,48,30,35,48,27,51,32,17,25,41,35,36,46,69,42,45,26,24,43,35,53,52,65,26,24,34,34,32,52
2016-01-01,81,58,41,66,36,46,13,48,15,51,42,47,59,37,40,48,55,39,30,52,31,21,50,29,34,43,29,46,32,18,23,36,36,31,45,71,43,56,24,25,42,34,52,52,62,25,24,36,37,31,53
2016-02-01,56,52,34,62,34,47,13,48,15,48,42,45,59,35,41,78,50,39,31,54,31,22,46,25,34,43,28,46,65,86,24,37,33,32,41,71,40,47,24,26,96,37,49,52,65,28,26,34,34,32,51
2016-03-01,53,53,41,63,35,49,14,49,18,49,43,50,69,40,43,41,58,46,35,56,34,24,54,26,35,54,27,48,32,16,24,38,34,38,43,76,44,50,25,27,43,40,52,53,77,26,27,37,36,37,55
2016-04-01,51,50,34,62,35,49,14,55,15,44,43,44,60,36,44,36,50,41,29,52,33,22,42,28,35,44,26,44,31,16,25,36,39,39,48,75,42,46,28,31,41,38,50,55,66,24,25,35,31,47,65
2016-05-01,52,50,32,63,35,48,14,51,15,43,43,45,64,35,48,35,53,79,29,56,31,22,41,25,33,44,28,49,31,17,26,39,33,33,42,72,49,50,25,28,41,38,50,54,65,25,27,36,49,31,54
2016-06-01,52,53,33,63,41,53,14,52,36,49,43,45,68,36,43,36,51,37,29,60,31,22,45,25,33,46,29,49,30,18,27,40,33,33,43,75,40,49,25,30,41,43,49,54,68,25,28,34,44,32,58
2016-07-01,55,54,32,63,37,55,14,55,15,45,44,45,70,36,44,38,53,40,34,66,32,22,49,32,33,45,31,45,30,20,29,37,33,34,41,77,37,52,26,32,41,43,51,54,69,28,27,34,35,35,62
2016-08-01,56,52,33,66,34,51,14,53,15,43,44,47,70,36,43,39,53,35,41,67,31,23,50,28,35,46,31,46,30,19,26,38,34,32,42,76,38,50,25,30,42,41,53,52,68,27,26,34,33,34,58
2016-09-01,81,49,36,78,33,52,14,52,15,46,51,45,63,37,40,44,52,39,29,57,31,23,55,32,37,46,27,64,29,18,27,38,39,36,58,81,51,51,25,30,51,40,70,57,70,26,28,36,36,35,60
2016-10-01,75,48,37,75,33,50,14,47,16,51,52,43,61,36,40,39,50,37,28,54,30,23,57,31,35,44,26,59,32,17,24,38,35,36,53,82,43,49,26,26,52,37,69,55,68,27,27,38,38,36,55
2016-11-01,77,50,38,69,38,49,13,45,21,45,45,41,58,36,40,41,50,41,30,54,30,26,70,32,34,46,26,65,39,24,23,36,38,36,65,88,45,46,32,26,43,38,63,53,67,26,26,39,41,36,58
2016-12-01,69,49,32,61,32,47,13,44,15,42,41,45,60,32,40,35,51,39,28,51,28,21,48,29,30,40,27,50,32,15,22,36,34,31,63,71,38,45,25,24,38,35,55,48,62,26,23,36,34,34,57
2017-01-01,86,55,34,63,37,48,13,45,16,49,44,49,61,35,41,38,58,40,29,52,29,22,45,26,33,43,27,45,36,16,23,38,34,31,43,73,40,46,24,25,42,36,49,50,65,26,24,43,32,31,55
2017-02-01,52,52,35,65,37,46,14,55,16,46,42,46,61,35,41,38,49,41,30,53,30,22,44,26,34,43,27,46,33,16,23,37,33,32,42,71,40,45,24,26,42,36,49,52,66,25,25,40,34,31,53
2017-03-01,52,50,38,71,35,48,14,48,16,49,45,47,61,38,42,39,59,56,31,53,31,23,50,29,34,45,25,47,33,16,24,39,34,38,46,71,41,50,25,31,55,40,53,52,68,26,25,38,41,36,52
2017-04-01,56,50,34,71,35,48,14,52,15,45,48,46,64,36,43,36,54,44,29,54,30,23,43,29,37,46,27,46,30,16,24,37,34,38,39,73,41,48,25,28,49,36,52,53,71,24,25,37,31,30,54
2017-05-01,54,52,32,66,34,50,14,50,19,42,42,44,63,36,41,36,51,83,29,57,32,22,43,26,36,47,34,46,30,17,25,37,34,32,40,73,39,47,24,28,43,38,51,52,68,24,26,38,33,31,56
2017-06-01,52,55,34,68,35,53,14,52,13,47,50,44,70,39,43,38,50,39,30,62,32,23,48,28,34,46,29,47,32,18,27,45,33,34,41,77,40,51,25,31,45,42,53,51,68,25,28,37,34,35,61
2017-07-01,53,58,34,67,36,55,14,55,13,45,45,48,74,39,44,38,50,40,28,66,32,24,50,28,35,46,34,47,34,21,28,40,34,34,41,84,38,51,27,33,46,44,54,55,68,27,27,37,36,35,63
2017-08-01,59,53,36,68,35,53,15,52,14,44,46,44,77,39,42,39,52,40,31,65,32,24,50,30,35,51,31,53,32,20,27,39,34,35,43,77,39,58,27,32,49,44,57,68,65,27,30,37,38,34,69
2017-09-01,84,49,35,70,34,50,14,49,14,76,57,41,65,35,41,42,52,39,28,57,32,23,54,31,37,44,31,63,30,19,25,39,34,33,44,77,45,52,25,29,53,38,71,59,69,27,26,36,40,31,63
2017-10-01,72,47,36,70,38,48,13,48,16,44,49,44,59,35,38,40,55,38,28,55,31,23,53,30,35,44,26,56,35,18,24,37,37,31,40,76,44,44,25,26,45,36,62,53,64,27,26,36,39,32,55
2017-11-01,90,46,34,70,32,46,13,45,16,40,52,41,56,33,38,41,49,38,26,51,28,21,51,29,37,46,26,59,30,15,25,36,35,29,39,75,44,42,23,25,42,37,64,57,59,24,28,34,36,34,53
2017-12-01,97,48,34,64,39,46,13,44,14,41,47,45,57,33,39,36,49,38,27,52,26,20,43,29,32,47,26,52,31,15,24,39,37,30,40,72,41,42,24,24,38,36,63,49,61,27,23,34,34,36,53
2018-01-01,100,60,36,64,38,46,13,46,15,49,61,62,61,34,38,36,50,45,28,53,28,23,48,36,33,58,26,46,34,17,25,38,34,31,43,67,44,43,25,26,42,35,57,49,60,27,26,35,36,29,53
2018-02-01,54,49,36,67,34,46,13,45,16,63,42,47,61,36,40,38,48,41,28,52,29,21,44,27,33,58,27,49,34,16,23,37,32,31,38,70,38,43,25,26,42,36,51,50,63,25,25,35,38,30,52
2018-03-01,57,49,39,68,35,47,14,48,17,51,46,47,62,39,41,36,58,49,29,55,36,23,57,28,36,57,26,46,36,16,25,40,34,34,39,71,42,45,37,32,44,41,56,55,67,25,28,36,45,31,54
2018-04-01,53,47,37,64,35,48,13,47,15,44,43,47,62,35,42,34,51,45,28,54,29,22,48,29,33,47,25,47,30,15,25,37,34,31,38,68,43,44,25,27,41,37,54,50,71,23,24,36,32,30,52
2018-05-01,51,51,34,64,35,47,13,47,14,42,43,92,65,35,41,34,48,75,28,56,30,22,42,24,32,46,26,46,30,17,25,38,32,31,38,70,38,47,25,28,41,37,52,53,65,24,24,36,36,30,54
2018-06-01,54,54,33,74,36,55,13,49,13,43,43,54,68,35,42,36,47,38,27,61,31,22,47,26,35,44,26,47,31,18,26,40,31,32,41,70,40,49,25,29,44,44,53,51,64,27,27,36,37,33,63
2018-07-01,53,54,34,63,37,56,14,54,12,44,46,48,75,36,43,39,46,38,27,66,30,23,49,26,32,49,29,46,32,20,26,41,32,32,41,72,38,49,26,31,42,45,54,50,64,27,26,35,35,34,62
2018-08-01,56,56,37,65,37,56,15,51,12,45,45,61,72,36,43,42,47,37,27,66,30,24,51,29,34,48,29,51,30,19,25,44,33,32,41,78,38,48,27,31,43,42,57,49,65,29,25,37,38,35,62
2018-09-01,77,48,36,72,32,51,13,47,14,42,50,41,61,35,39,42,49,40,27,58,32,26,54,29,37,44,26,72,29,17,23,40,34,49,39,76,42,45,25,29,60,40,66,51,63,25,27,35,43,33,59
2018-10-01,70,48,37,69,32,49,14,45,14,50,53,41,62,36,39,39,52,42,28,58,29,24,54,29,35,47,25,60,31,16,23,38,33,31,47,73,41,43,26,27,47,38,62,55,66,27,26,36,42,33,57
2018-11-01,85,57,44,64,50,46,14,43,15,48,67,39,61,37,39,41,54,45,27,56,30,24,64,28,44,51,27,62,35,15,24,38,32,30,48,76,45,42,25,24,42,38,60,54,66,27,25,34,51,36,52
2018-12-01,87,61,33,57,31,44,12,41,13,41,48,40,56,33,36,35,51,38,26,52,25,20,44,27,30,41,24,49,31,15,22,39,33,30,42,66,49,39,22,23,37,35,57,48,58,25,22,32,37,29,51
2019-01-01,83,57,35,60,34,46,13,43,15,45,45,47,60,34,39,38,65,43,28,54,28,21,46,26,32,43,26,48,33,15,23,45,33,29,44,66,38,40,23,25,39,36,54,49,62,26,24,33,35,32,55
2019-02-01,52,53,37,64,33,47,13,46,15,46,42,47,63,36,39,38,48,43,28,53,28,22,44,25,33,44,28,47,33,15,24,42,31,31,41,64,37,44,24,25,41,37,57,48,64,25,28,34,36,31,54
2019-03-01,63,50,38,67,33,50,13,45,14,66,45,47,63,35,39,40,52,54,29,54,29,21,52,28,36,47,26,67,33,15,23,45,32,35,46,68,40,46,24,26,42,41,64,53,64,24,27,34,36,31,54
2019-04-01,52,48,35,64,34,49,13,46,14,44,43,42,61,35,40,34,46,46,28,55,28,22,45,26,33,44,24,46,30,16,23,40,31,31,42,66,38,42,24,27,41,37,52,56,64,22,28,33,33,30,50
2019-05-01,64,50,32,69,32,51,13,46,13,41,43,43,64,35,39,35,50,88,29,56,28,22,42,25,34,47,24,47,29,16,23,40,31,31,39,68,44,42,25,27,39,38,50,49,58,23,24,32,32,30,54
2019-06-01,53,54,33,68,33,50,14,47,12,43,43,43,66,36,40,34,45,38,27,59,29,22,48,27,36,43,26,46,30,20,26,40,32,32,39,68,39,45,25,28,40,43,52,50,63,24,28,33,34,32,59
2019-07-01,51,57,33,62,42,52,13,49,13,44,43,44,69,36,41,35,44,39,30,65,29,23,49,27,35,43,27,45,32,20,26,41,31,32,41,69,36,45,26,31,41,43,54,48,63,26,25,35,35,34,62
2019-08-01,61,56,35,66,34,50,14,49,14,47,47,44,70,36,41,39,48,40,28,64,29,24,48,31,37,46,28,51,31,19,25,40,33,32,40,78,40,47,26,30,43,43,58,53,64,27,26,34,36,34,59
2019-09-01,74,50,36,72,32,49,14,47,13,46,52,41,65,35,40,43,52,41,28,57,31,24,54,32,36,43,27,71,33,17,24,42,33,37,41,72,46,46,26,29,51,43,66,55,64,25,26,35,37,33,66
2019-10-01,72,51,36,69,37,48,14,44,14,41,49,41,60,36,38,40,54,40,31,53,27,24,50,30,36,44,25,56,29,17,24,39,34,30,44,73,45,44,25,28,48,39,67,51,62,27,25,40,39,35,59
2019-11-01,89,48,36,69,32,44,13,43,13,42,50,39,56,34,38,41,49,53,32,51,27,21,53,34,38,45,26,61,30,16,23,38,32,29,40,75,44,45,24,24,42,40,59,49,65,25,27,33,37,32,61
2019-12-01,60,51,35,62,30,44,13,41,12,42,45,45,56,35,36,36,47,41,27,49,26,21,44,28,31,41,26,48,31,15,25,36,34,29,41,76,49,41,23,23,37,36,57,47,64,25,24,31,33,34,56
2020-01-01,59,56,36,65,34,45,13,44,12,49,44,49,63,38,39,39,66,41,28,51,27,22,45,28,36,42,27,47,33,17,24,40,33,30,43,63,36,43,25,24,40,35,68,49,64,24,26,33,36,32,56
2020-02-01,54,50,37,66,33,46,13,46,14,46,43,45,65,38,39,100,75,43,29,51,29,24,45,25,38,46,26,48,67,67,23,40,31,31,39,64,38,41,25,26,68,37,53,48,62,25,25,34,36,31,57
2020-03-01,62,49,43,76,45,53,16,52,16,54,49,53,74,54,44,36,46,46,39,50,39,37,61,33,39,53,26,47,36,18,30,49,39,37,55,78,43,45,35,33,67,43,67,52,76,25,30,40,47,41,59
2020-04-01,59,41,38,69,39,43,14,45,14,49,54,42,77,47,43,36,41,42,36,51,32,32,59,28,39,51,27,48,35,15,25,44,36,31,50,72,42,41,31,28,44,56,55,53,61,24,25,32,38,43,58
2020-05-01,55,42,39,73,39,45,14,47,13,47,59,40,69,45,46,36,43,50,31,54,34,31,59,26,36,50,28,50,35,16,24,46,29,34,44,70,41,44,32,29,45,48,57,52,62,23,26,31,38,36,56
