Date,date_time,year,month,month_year,term_year_bush,SP 500
2008-05-01,2008-05-01,2008,5,2008-05,7,1400.380005
2008-06-01,2008-06-01,2008,6,2008-06,7,1280.0
2008-07-01,2008-07-01,2008,7,2008-07,7,1267.380005
2008-08-01,2008-08-01,2008,8,2008-08,7,1282.829956
2008-09-01,2008-09-01,2008,9,2008-09,7,1166.359985
2008-10-01,2008-10-01,2008,10,2008-10,7,968.75
2008-11-01,2008-11-01,2008,11,2008-11,7,896.23999
2008-12-01,2008-12-01,2008,12,2008-12,7,903.25
2009-01-01,2009-01-01,2009,1,2009-01,8,825.880005
2009-02-01,2009-02-01,2009,2,2009-02,8,735.090027
2009-03-01,2009-03-01,2009,3,2009-03,8,797.869995
2009-04-01,2009-04-01,2009,4,2009-04,8,872.8099980000001
2009-05-01,2009-05-01,2009,5,2009-05,8,919.1400150000001
2009-06-01,2009-06-01,2009,6,2009-06,8,919.320007
2009-07-01,2009-07-01,2009,7,2009-07,8,987.4799800000001
2009-08-01,2009-08-01,2009,8,2009-08,8,1020.6199949999999
2009-09-01,2009-09-01,2009,9,2009-09,8,1057.079956
2009-10-01,2009-10-01,2009,10,2009-10,8,1036.189941
2009-11-01,2009-11-01,2009,11,2009-11,8,1095.630005
2009-12-01,2009-12-01,2009,12,2009-12,8,1115.099976
2010-01-01,2010-01-01,2010,1,2010-01,9,1073.869995
2010-02-01,2010-02-01,2010,2,2010-02,9,1104.48999
2010-03-01,2010-03-01,2010,3,2010-03,9,1169.430054
2010-04-01,2010-04-01,2010,4,2010-04,9,1186.689941
2010-05-01,2010-05-01,2010,5,2010-05,9,1089.410034
2010-06-01,2010-06-01,2010,6,2010-06,9,1030.709961
2010-07-01,2010-07-01,2010,7,2010-07,9,1101.599976
2010-08-01,2010-08-01,2010,8,2010-08,9,1049.329956
2010-09-01,2010-09-01,2010,9,2010-09,9,1141.199951
2010-10-01,2010-10-01,2010,10,2010-10,9,1183.26001
2010-11-01,2010-11-01,2010,11,2010-11,9,1180.550049
2010-12-01,2010-12-01,2010,12,2010-12,9,1257.640015
2011-01-01,2011-01-01,2011,1,2011-01,10,1286.119995
2011-02-01,2011-02-01,2011,2,2011-02,10,1327.219971
2011-03-01,2011-03-01,2011,3,2011-03,10,1325.829956
2011-04-01,2011-04-01,2011,4,2011-04,10,1363.609985
2011-05-01,2011-05-01,2011,5,2011-05,10,1345.199951
2011-06-01,2011-06-01,2011,6,2011-06,10,1320.640015
2011-07-01,2011-07-01,2011,7,2011-07,10,1292.280029
2011-08-01,2011-08-01,2011,8,2011-08,10,1218.890015
2011-09-01,2011-09-01,2011,9,2011-09,10,1131.420044
2011-10-01,2011-10-01,2011,10,2011-10,10,1253.300049
2011-11-01,2011-11-01,2011,11,2011-11,10,1246.959961
2011-12-01,2011-12-01,2011,12,2011-12,10,1257.599976
2012-01-01,2012-01-01,2012,1,2012-01,11,1312.410034
2012-02-01,2012-02-01,2012,2,2012-02,11,1365.680054
2012-03-01,2012-03-01,2012,3,2012-03,11,1408.469971
2012-04-01,2012-04-01,2012,4,2012-04,11,1397.910034
2012-05-01,2012-05-01,2012,5,2012-05,11,1310.329956
2012-06-01,2012-06-01,2012,6,2012-06,11,1362.160034
2012-07-01,2012-07-01,2012,7,2012-07,11,1379.319946
2012-08-01,2012-08-01,2012,8,2012-08,11,1406.579956
2012-09-01,2012-09-01,2012,9,2012-09,11,1440.670044
2012-10-01,2012-10-01,2012,10,2012-10,11,1412.160034
2012-11-01,2012-11-01,2012,11,2012-11,11,1416.180054
2012-12-01,2012-12-01,2012,12,2012-12,11,1426.189941
2013-01-01,2013-01-01,2013,1,2013-01,12,1498.109985
2013-02-01,2013-02-01,2013,2,2013-02,12,1514.680054
2013-03-01,2013-03-01,2013,3,2013-03,12,1569.189941
2013-04-01,2013-04-01,2013,4,2013-04,12,1597.569946
2013-05-01,2013-05-01,2013,5,2013-05,12,1630.73999
2013-06-01,2013-06-01,2013,6,2013-06,12,1606.280029
2013-07-01,2013-07-01,2013,7,2013-07,12,1685.72998
2013-08-01,2013-08-01,2013,8,2013-08,12,1632.969971
2013-09-01,2013-09-01,2013,9,2013-09,12,1681.550049
2013-10-01,2013-10-01,2013,10,2013-10,12,1756.540039
2013-11-01,2013-11-01,2013,11,2013-11,12,1805.810059
2013-12-01,2013-12-01,2013,12,2013-12,12,1848.359985
2014-01-01,2014-01-01,2014,1,2014-01,13,1782.589966
2014-02-01,2014-02-01,2014,2,2014-02,13,1859.449951
2014-03-01,2014-03-01,2014,3,2014-03,13,1872.339966
2014-04-01,2014-04-01,2014,4,2014-04,13,1883.949951
2014-05-01,2014-05-01,2014,5,2014-05,13,1923.569946
2014-06-01,2014-06-01,2014,6,2014-06,13,1960.22998
2014-07-01,2014-07-01,2014,7,2014-07,13,1930.6700440000002
2014-08-01,2014-08-01,2014,8,2014-08,13,2003.369995
2014-09-01,2014-09-01,2014,9,2014-09,13,1972.290039
2014-10-01,2014-10-01,2014,10,2014-10,13,2018.050049
2014-11-01,2014-11-01,2014,11,2014-11,13,2067.560059
2014-12-01,2014-12-01,2014,12,2014-12,13,2058.899902
2015-01-01,2015-01-01,2015,1,2015-01,14,1994.9899899999998
2015-02-01,2015-02-01,2015,2,2015-02,14,2104.5
2015-03-01,2015-03-01,2015,3,2015-03,14,2067.889893
2015-04-01,2015-04-01,2015,4,2015-04,14,2085.51001
2015-05-01,2015-05-01,2015,5,2015-05,14,2107.389893
2015-06-01,2015-06-01,2015,6,2015-06,14,2063.110107
2015-07-01,2015-07-01,2015,7,2015-07,14,2103.840088
2015-08-01,2015-08-01,2015,8,2015-08,14,1972.180054
2015-09-01,2015-09-01,2015,9,2015-09,14,1920.030029
2015-10-01,2015-10-01,2015,10,2015-10,14,2079.360107
2015-11-01,2015-11-01,2015,11,2015-11,14,2080.409912
2015-12-01,2015-12-01,2015,12,2015-12,14,2043.939941
2016-01-01,2016-01-01,2016,1,2016-01,15,1940.2399899999998
2016-02-01,2016-02-01,2016,2,2016-02,15,1932.22998
2016-03-01,2016-03-01,2016,3,2016-03,15,2059.73999
2016-04-01,2016-04-01,2016,4,2016-04,15,2065.300049
2016-05-01,2016-05-01,2016,5,2016-05,15,2096.949951
2016-06-01,2016-06-01,2016,6,2016-06,15,2098.860107
2016-07-01,2016-07-01,2016,7,2016-07,15,2173.600098
2016-08-01,2016-08-01,2016,8,2016-08,15,2170.949951
2016-09-01,2016-09-01,2016,9,2016-09,15,2168.27002
2016-10-01,2016-10-01,2016,10,2016-10,15,2126.149902
2016-11-01,2016-11-01,2016,11,2016-11,15,2198.810059
2016-12-01,2016-12-01,2016,12,2016-12,15,2238.830078
2017-01-01,2017-01-01,2017,1,2017-01,16,2278.8701170000004
2017-02-01,2017-02-01,2017,2,2017-02,16,2363.639893
2017-03-01,2017-03-01,2017,3,2017-03,16,2362.719971
2017-04-01,2017-04-01,2017,4,2017-04,16,2384.199951
2017-05-01,2017-05-01,2017,5,2017-05,16,2411.800049
2017-06-01,2017-06-01,2017,6,2017-06,16,2423.409912
2017-07-01,2017-07-01,2017,7,2017-07,16,2470.300049
2017-08-01,2017-08-01,2017,8,2017-08,16,2471.649902
2017-09-01,2017-09-01,2017,9,2017-09,16,2519.360107
2017-10-01,2017-10-01,2017,10,2017-10,16,2575.26001
2017-11-01,2017-11-01,2017,11,2017-11,16,2584.840088
2017-12-01,2017-12-01,2017,12,2017-12,16,2673.610107
2018-01-01,2018-01-01,2018,1,2018-01,17,2823.810059
2018-02-01,2018-02-01,2018,2,2018-02,17,2713.830078
2018-03-01,2018-03-01,2018,3,2018-03,17,2640.8701170000004
2018-04-01,2018-04-01,2018,4,2018-04,17,2648.050049
2018-05-01,2018-05-01,2018,5,2018-05,17,2705.27002
2018-06-01,2018-06-01,2018,6,2018-06,17,2718.3701170000004
2018-07-01,2018-07-01,2018,7,2018-07,17,2816.290039
2018-08-01,2018-08-01,2018,8,2018-08,17,2901.52002
2018-09-01,2018-09-01,2018,9,2018-09,17,2913.97998
2018-10-01,2018-10-01,2018,10,2018-10,17,2711.73999
2018-11-01,2018-11-01,2018,11,2018-11,17,2760.169922
2018-12-01,2018-12-01,2018,12,2018-12,17,2506.850098
2019-01-01,2019-01-01,2019,1,2019-01,18,2704.100098
2019-02-01,2019-02-01,2019,2,2019-02,18,2784.48999
2019-03-01,2019-03-01,2019,3,2019-03,18,2834.399902
2019-04-01,2019-04-01,2019,4,2019-04,18,2945.830078
2019-05-01,2019-05-01,2019,5,2019-05,18,2752.060059
2019-06-01,2019-06-01,2019,6,2019-06,18,2941.76001
2019-07-01,2019-07-01,2019,7,2019-07,18,2980.3798829999996
2019-08-01,2019-08-01,2019,8,2019-08,18,2926.459961
2019-09-01,2019-09-01,2019,9,2019-09,18,2976.73999
2019-10-01,2019-10-01,2019,10,2019-10,18,3037.560059
2019-11-01,2019-11-01,2019,11,2019-11,18,3140.97998
2019-12-01,2019-12-01,2019,12,2019-12,18,3230.780029
2020-01-01,2020-01-01,2020,1,2020-01,19,3225.52002
2020-02-01,2020-02-01,2020,2,2020-02,19,2954.219971
2020-03-01,2020-03-01,2020,3,2020-03,19,2584.590088
2020-04-01,2020-04-01,2020,4,2020-04,19,2912.429932
2020-05-01,2020-05-01,2020,5,2020-05,19,2881.189941
